site,basin_areasqkm,springprev_point,springprev_basinmean,springprev_iew01km,springprev_iew05km,springprev_basinmean_log,springprev_iew01km_log,springprev_iew05km_log
2056,5.34949612317463,0.05316830053925514,0.011392826331671026,0.011188746701928093,0.011366538406947724,-4.474771390806283,-4.492846764545957,-4.47708146727068
2057,5.547802336704931,0.031789399683475494,0.011148050206364436,0.010897252846903828,0.01110777944204729,-4.496490665751798,-4.519244553906685,-4.500109565510074
2058,5.958972316148242,0.03123060055077076,0.010868957927065976,0.0104721551514065,0.010798758003269824,-4.521844449319797,-4.5590354346509745,-4.528324151162174
2059,7.526254580431184,0.04439470171928406,0.010630543935129588,0.010126410854160809,0.010534883309928324,-4.544023918122774,-4.592608332076134,-4.5530633082060925
2060,8.438123486454208,0.06002520024776459,0.010695359894126831,0.010504902363045092,0.010641167030266525,-4.537945286324194,-4.555913239060104,-4.5430251177876855
2061,8.63885595871516,0.04258739948272705,0.011496207413272739,0.012777273626887136,0.011668249006918324,-4.46573808815586,-4.36008718402058,-4.450883886193209
2062,9.180154281377096,0.09747669845819473,0.012272830377668935,0.014770891871702788,0.012663682319265322,-4.400367372233973,-4.215096800260346,-4.369017042057194
2063,9.51748512013604,0.05958639830350876,0.013577025196655402,0.018428559504716745,0.014375995188595624,-4.299376238531923,-3.9938536707068617,-4.242195464184044
2064,9.79593874704935,0.1475200057029724,0.015018435417961105,0.022022487678371047,0.01625977725951573,-4.1984768046523495,-3.8156911804823053,-4.119060873633069
2065,10.03824111888649,0.15696999430656433,0.016756455936337938,0.026830665123252037,0.01859332216074316,-4.088971665934651,-3.618209824570401,-3.984952786343349
2066,33.30339345489766,0.048284098505973816,0.022017934463978494,0.03720906502616696,0.026048930411453987,-3.8158979548131264,-3.2912028638899256,-3.6477785706869748
2067,33.70841691222359,0.0809113010764122,0.022036951629531273,0.034807363860139315,0.02588987634748198,-3.815034615083062,-3.3579263094105087,-3.6539032613026348
2068,34.03377820791699,0.031345199793577194,0.021983995969087473,0.03230993896418736,0.025626824754568216,-3.817440546298862,-3.4323803882163055,-3.6641156341245025
2069,34.29468189668347,0.02793229930102825,0.021744630249778855,0.02861229768511001,0.025069346228937757,-3.8283884369962182,-3.5539186645852436,-3.686109444976548
2070,34.46088061968781,0.024641400203108788,0.021481671797374677,0.025224209075214058,0.024478398679575047,-3.8405551819522876,-3.6799510680322896,-3.7099642368936143
2071,34.972821211709274,0.01125049963593483,0.021159834362861094,0.021469563472149567,0.02373859944101198,-3.8556504998647796,-3.8411189992893155,-3.740652887286005
2072,35.03849194800307,0.02917799912393093,0.020951517362588955,0.019278166274134822,0.02326020776224044,-3.8655442074282154,-3.948782104585722,-3.7610111997629616
2073,2.121278007630933,0.05930529907345772,0.014997671178472692,0.015220854324668435,0.015042251218018924,-4.199860344701683,-4.185088796411148,-4.196892289612553
2074,2.675678127434083,0.037747401744127274,0.016665625035263944,0.017132296800219073,0.016758626482285443,-4.0944070620593385,-4.066789895060896,-4.0888421394174
2075,2.764155695787855,0.053066201508045197,0.017494650900046878,0.018186329009089886,0.01763133508411113,-4.045860107631545,-4.007085120503127,-4.038077557469575
2076,3.176619679886415,0.10698799788951874,0.019139389919449665,0.02056698306397148,0.019416521413770885,-3.9560067681022395,-3.8840682528715895,-3.9416309560682525
2077,3.309012531252833,0.06191660091280937,0.02092755712841295,0.023090473859478572,0.021359252677442334,-3.866688465608776,-3.7683351335448667,-3.8462702525133294
2078,2.466453749617961,0.1053130030632019,0.05518025067173923,0.0560059643335364,0.0553452129004867,-2.897150167402677,-2.8822970879623373,-2.8941651113638613
2079,2.646643897965309,0.11272700130939484,0.055500508095332586,0.056826548626460464,0.05576053433647173,-2.8913631034007965,-2.8677516570594768,-2.8866889297839657
2080,3.078275326031165,0.11439300328493118,0.0564726026197831,0.0581665723142367,0.056812805014108125,-2.873999667820688,-2.8444444481138937,-2.86799353827367
2081,3.544764004517097,0.11614000052213669,0.05728009167758405,0.05916521003082995,0.05766061929489116,-2.8598021558145463,-2.827421578235074,-2.8531808463701216
2082,3.687589768422816,0.1530590057373047,0.058847609653477996,0.06154374248328246,0.05938099000960523,-2.8328040637137173,-2.7880070971043334,-2.823781137343519
2083,3.268089634006664,0.14498500525951385,0.06537870890470106,0.0702097211713615,0.0663681932049334,-2.727558625438399,-2.656268499313073,-2.7125373552635126
2084,2.610492642889108,0.03283330053091049,0.010317030757638098,0.01060606730318334,0.010374414611210064,-4.573959277610409,-4.5463290545223565,-4.568412637473111
2085,4.212874783467378,0.035482101142406464,0.012539700439379818,0.012994299842201826,0.0126307995401886,-4.378855632469408,-4.343244491355075,-4.371617039778702
2086,4.407865110066976,0.10399699956178665,0.014116149461527212,0.014863680411178897,0.014263153649877023,-4.260435785131712,-4.208834598004362,-4.250075734879019
2087,4.614905855026569,0.1711149960756302,0.016700472302111823,0.018280578705862482,0.017004272902407684,-4.092318278395761,-4.001916055587294,-4.0742906193078845
2088,5.202383968848791,0.10048999637365341,0.01935232038732982,0.022062554625176135,0.019871280785455733,-3.944942950037902,-3.813873468363023,-3.9184797662443347
2089,5.836203624412425,0.22247900068759918,0.022289080770275433,0.02679032479248292,0.023149866058234086,-3.8036583719916903,-3.619714471852865,-3.7657662842880537
2090,6.233220427928998,0.1310800015926361,0.02555945588373436,0.03162979344387227,0.026772494124387005,-3.6667479375032115,-3.453655772072489,-3.6203802571537556
2091,6.351621853952482,0.11139699816703796,0.028612389306441017,0.03716756941054061,0.030288917656827802,-3.5539154624242246,-3.2923186879722066,-3.496973387271158
2092,19.91287152407037,0.12098000198602676,0.024427092654009646,0.03832872435112685,0.02756667266294516,-3.7120624079982694,-3.2615556808341517,-3.591147748101453
2093,20.640587392488108,0.10258600115776062,0.02534326910878742,0.039800739668289425,0.028714440404005143,-3.6752421025922226,-3.2238697822340496,-3.5503551327887264
2094,21.069549935948952,0.12800000607967377,0.026355267450699237,0.04194909083074538,0.030039036120663047,-3.6360871207204157,-3.1712985189916116,-3.5052575391301795
2095,21.933378919111803,0.17775799334049225,0.027626281784767084,0.0459807607261115,0.03182107724424183,-3.588987720772059,-3.0795322150664455,-3.4476264023324723
2096,22.388625932152348,0.11055999994277954,0.02844955142995646,0.047182108958908967,0.03291244726328791,-3.5596228854952057,-3.0537405057280247,-3.413904356491782
2097,22.698540047264174,0.05117829889059067,0.028442131323073286,0.04352575958999142,0.03265904379726817,-3.559883735818704,-3.1344023416710574,-3.4216334693556085
