"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"gr[41]",0.250364887004388,0.0555530658286993,0.143624202168263,0.212852422582989,0.25029838952787,0.286896445924724,0.360302825948819,1.00141426708445,6900
"gr[42]",0.460131066879457,0.0436674971627766,0.372266562537198,0.431483288102285,0.461171459416954,0.489873178618556,0.542956941114917,1.00154011139473,3100
"gr[43]",0.391837305710554,0.0408839156662822,0.309896437082579,0.36490532108935,0.392945103669044,0.419445204102602,0.469451480818193,1.00150851878088,3300
"gr[44]",0.30129296356626,0.040329416882238,0.220005818996227,0.274680194517335,0.301791261812471,0.328044007487487,0.380879306539009,1.00117062020766,7400
"gr[45]",0.071522376032532,0.0481526423525616,-0.024778866056494,0.0397543171901136,0.0719814286001939,0.103456382096238,0.165530889404656,1.00131472998669,4800
"gr[46]",0.435236992371292,0.041274668129033,0.354029476636146,0.407851164668023,0.435898130489463,0.463412667071231,0.514561215494506,1.00163637303007,2700
"gr[47]",0.372193178648167,0.0402543398394493,0.291938312970081,0.345352348767472,0.37314770957951,0.399484901405139,0.44896657645937,1.00182864320649,2200
"gr[48]",0.236945927321245,0.041668049210094,0.153583209503427,0.209534929079776,0.237397546941811,0.265022538779469,0.317897631165887,1.00171260210501,2500
"gr[49]",0.0103795519166332,0.0549142328160191,-0.0996139950731929,-0.0261712524997584,0.0108219764619968,0.0472137327590805,0.117850098210575,1.00151183324401,3300
"gr[50]",0.441679550589353,0.0474141434094266,0.34667443541893,0.409403347911485,0.442214937535307,0.474977021796864,0.532592479898512,1.00100437833276,15000
"gr[51]",0.343393911113644,0.0458915788232247,0.252682214949117,0.311960400367494,0.344175704135594,0.375658485979501,0.430912380851873,1.00103828119406,14000
"gr[52]",0.234291188583519,0.0405141648876094,0.155086232453889,0.207080424156522,0.234643556600971,0.26208304963709,0.312140189698738,1.00091461435456,15000
"gr[53]",0.0844332119420178,0.0450227535130067,-0.00349109966139662,0.0543296944375918,0.0846769260584282,0.115084059907094,0.17219546697462,1.00111002677618,9500
"gr[54]",0.14624677716521,0.0493406823156284,0.0493380755758676,0.112922909814203,0.146055440087891,0.179664714511479,0.244409018249835,1.00110870062877,9500
"gr[55]",0.519911164653022,0.0545986942916588,0.413315318793557,0.48316595520193,0.520029647405156,0.557124251683588,0.626926603641762,1.00106287564121,12000
"gr[56]",0.406019592237567,0.044916519215302,0.317747727220351,0.375998531059532,0.406100041426911,0.436835179437733,0.491794936236079,1.00096474481265,15000
"gr[57]",0.22784614196314,0.044821649802448,0.137962902602785,0.19823605518023,0.228679573973423,0.258831112909333,0.31131120669159,1.00093067847186,15000
"gr[58]",0.223077301527433,0.0613063172081242,0.102917277355707,0.181829087622343,0.222941671780648,0.264223463908125,0.344437287229867,1.00119995929816,6600
"gr[59]",0.186005325503722,0.0453189867819708,0.0981374518637283,0.155518967868624,0.1862810201319,0.216929601342897,0.27305013810881,1.00096837466515,15000
"gr[60]",0.0180031298008085,0.0497685637210639,-0.0800113403932502,-0.0154922584550383,0.0178608442199637,0.0516629184671064,0.115238723471502,1.00098675415884,15000
"gr[61]",0.654146209214456,0.0525816723118834,0.554859183835607,0.617915909478196,0.653170057775685,0.68964064135975,0.75876051716328,1.00344514023121,790
"gr[62]",0.211128100868818,0.049029850017099,0.116015385086618,0.178113748344117,0.210959942646979,0.24361505270623,0.308274480653162,1.00146965585564,3500
"gr[63]",0.645918856301464,0.0514048427016569,0.547197869321235,0.610803153337306,0.645348976353201,0.68094401699537,0.747419255157029,1.00363086565837,730
"gr[64]",0.725499746356645,0.0577559584443042,0.613014587422232,0.68612301945025,0.724530736006447,0.764713210443072,0.840362865077746,1.00320667471998,870
"gr[65]",0.362959168169619,0.0436797629605942,0.27812947422417,0.333779869661555,0.362361145576955,0.391994943391034,0.449069429617235,1.00221863688841,1500
"gr[66]",0.249688863724597,0.0463865954774035,0.159623391099959,0.21874629388989,0.249700164141054,0.280568993502642,0.3411510875456,1.00179201868667,2200
"gr[67]",0.65356798985365,0.0512965493887124,0.555553334923423,0.618184392925634,0.652728437307842,0.68883632817051,0.756367598885018,1.00350230520061,770
"gr[68]",0.71625079419896,0.0565481839835766,0.608296590901006,0.677349641149949,0.715017211225314,0.754597652601334,0.82965835365118,1.00325480108997,850
"gr[69]",0.314399161142131,0.0461078379973414,0.224418097334502,0.283308352082629,0.31397991425203,0.344815687325094,0.405630394311681,1.00167354167736,2600
"gr[70]",0.204745317733509,0.0493756690354531,0.108496551864076,0.17193067509858,0.204780965879535,0.237295452268889,0.302346004494919,1.00142860204107,3800
"gr[71]",0.710253495300161,0.0557263861404441,0.602817523659322,0.671935864792827,0.709518352743942,0.748629314416684,0.821147066284279,1.0037001546661,720
"gr[72]",0.251911810612767,0.0462015865807936,0.163029307098316,0.2209317092106,0.251441933180895,0.28217023932758,0.343995321215354,1.00207423613936,1700
"gr[73]",0.4403187101068,0.0517956386112151,0.3364712027277,0.406851590619351,0.4410103346973,0.473846193383655,0.54126936283855,1.00108896785813,11000
"gr[74]",0.376175032873718,0.0520851222856259,0.270203461505558,0.342348880881308,0.37731198669444,0.410325565697786,0.474677227027403,1.00105204390021,13000
"gr[75]",0.41674007849883,0.0509014835505469,0.314042030250172,0.38415396851756,0.417520473516639,0.449857526497908,0.516152503938025,1.00134295587297,4500
"gr[76]",0.459184033093839,0.05177051669161,0.356921138960981,0.425316502208032,0.459242982323489,0.492738111967597,0.562476100353418,1.00191345106163,2000
"gr[77]",0.439635726881309,0.0513180666458428,0.337943665145811,0.406221054456067,0.439755663125906,0.472760099136633,0.541747057620299,1.00188857727899,2000
"gr[78]",0.325580397463071,0.0512767220267452,0.22150917404182,0.292792064360041,0.326921541106169,0.359058253463361,0.424029154151503,1.0014429606668,3700
"gr[79]",0.215527922348696,0.0541220363991322,0.105452102765344,0.180537942634334,0.217312552036337,0.251923853664308,0.317493128447583,1.00137946420138,4200
"gr[80]",0.408624113053816,0.0376239597497392,0.334841291674518,0.38391237969759,0.408401806086398,0.433237062563786,0.48332423138565,1.00138011125875,4200
"gr[81]",0.42639235525206,0.0366858162032471,0.353217744156582,0.402382301140034,0.426459685440761,0.450669189003492,0.499268042465589,1.00141764807324,3900
"gr[82]",0.303419404415636,0.0397375483804895,0.224311532052985,0.277108336225159,0.303678463324675,0.329820255871831,0.381866386073964,1.00100366742411,15000
